scenario,variant,n,events,accuracy,precision,recall,specificity,f1,auc,tn,fp,fn,tp
train_eICU_test_MIMIC,LogisticRegression_balanced,136,46,0.625,0.4489795918367347,0.4782608695652174,0.7,0.46315789473684216,0.5828502415458937,63,27,24,22
train_eICU_test_MIMIC,LogisticRegression_unweighted,136,46,0.6911764705882353,0.6111111111111112,0.2391304347826087,0.9222222222222223,0.34375,0.6036231884057971,83,7,35,11
train_eICU_test_MIMIC,RandomForest_balanced,136,46,0.6617647058823529,0.0,0.0,1.0,0.0,0.7144927536231885,90,0,46,0
train_eICU_test_MIMIC,RandomForest_unweighted,136,46,0.6617647058823529,0.0,0.0,1.0,0.0,0.7556763285024155,90,0,46,0
train_eICU_test_MIMIC,GradientBoosting_unweighted,136,46,0.6617647058823529,0.0,0.0,1.0,0.0,0.6971014492753623,90,0,46,0
train_eICU_test_MIMIC,GradientBoosting_inverse_frequency,136,46,0.6544117647058824,0.4,0.043478260869565216,0.9666666666666667,0.0784313725490196,0.626328502415459,87,3,44,2
train_MIMIC_test_eICU,LogisticRegression_balanced,3676,310,0.7377584330794341,0.14065934065934066,0.4129032258064516,0.7676767676767676,0.2098360655737705,0.6942249822705231,2584,782,182,128
train_MIMIC_test_eICU,LogisticRegression_unweighted,3676,310,0.7829162132752993,0.14739884393063585,0.32903225806451614,0.8247177658942365,0.2035928143712575,0.703198972648688,2776,590,208,102
train_MIMIC_test_eICU,RandomForest_balanced,3676,310,0.8862894450489662,0.2545454545454545,0.18064516129032257,0.9512774806892454,0.2113207547169811,0.6556379736645391,3202,164,254,56
train_MIMIC_test_eICU,RandomForest_unweighted,3676,310,0.8476605005440696,0.1794871794871795,0.22580645161290322,0.904931669637552,0.2,0.6287965039388189,3046,320,240,70
train_MIMIC_test_eICU,GradientBoosting_unweighted,3676,310,0.8057671381936888,0.13138686131386862,0.23225806451612904,0.8585858585858586,0.16783216783216784,0.617704559829797,2890,476,238,72
train_MIMIC_test_eICU,GradientBoosting_inverse_frequency,3676,310,0.8052230685527747,0.14878892733564014,0.27741935483870966,0.8538324420677362,0.19369369369369369,0.6148333429168343,2874,492,224,86
