scenario,model,n_test,events,accuracy,precision,recall,f1,auc_roc,tn,fp,fn,tp,accuracy_std,precision_std,recall_std,f1_std,auc_roc_std
eICU_internal_validation_24h,LogisticRegression,610,40,0.7163934426229508,0.14054054054054055,0.65,0.23111111111111113,0.7693201754385964,411.0,159.0,14.0,26.0,,,,,
train_eICU_test_MIMIC_24h,LogisticRegression,124,34,0.27419354838709675,0.27049180327868855,0.9705882352941176,0.4230769230769231,0.5316993464052288,1.0,89.0,1.0,33.0,,,,,
train_MIMIC_test_eICU_24h,LogisticRegression,2438,158,0.5726004922067268,0.075,0.4936708860759494,0.1302170283806344,0.5429546968687542,1318.0,962.0,80.0,78.0,,,,,
integrated_5fold_cv_24h,LogisticRegression,2562,192,0.7400447733918128,0.1727189678913817,0.6510121457489878,0.2729740383742306,0.759553744796916,,,,,0.008468093365363596,0.011887812256793407,0.04239622296865875,0.01833074155421186,0.028995152119884095
eICU_internal_validation_24h,RandomForest,610,40,0.9344262295081968,0.0,0.0,0.0,0.7585745614035088,570.0,0.0,40.0,0.0,,,,,
train_eICU_test_MIMIC_24h,RandomForest,124,34,0.7258064516129032,0.0,0.0,0.0,0.5836601307189543,90.0,0.0,34.0,0.0,,,,,
train_MIMIC_test_eICU_24h,RandomForest,2438,158,0.9237079573420837,0.0625,0.012658227848101266,0.021052631578947368,0.5719062291805462,2250.0,30.0,156.0,2.0,,,,,
integrated_5fold_cv_24h,RandomForest,2562,192,0.9258398818226121,0.4333333333333333,0.026045883940620785,0.04902439024390244,0.7764251182972036,,,,,0.0021106648524037777,0.38873012632302,0.023240104606347376,0.04363332150987972,0.029197629288582716
eICU_internal_validation_24h,GradientBoosting,610,40,0.9295081967213115,0.2857142857142857,0.05,0.0851063829787234,0.7717763157894737,565.0,5.0,38.0,2.0,,,,,
train_eICU_test_MIMIC_24h,GradientBoosting,124,34,0.7096774193548387,0.3333333333333333,0.058823529411764705,0.1,0.534640522875817,86.0,4.0,32.0,2.0,,,,,
train_MIMIC_test_eICU_24h,GradientBoosting,2438,158,0.8219852337981952,0.0660377358490566,0.13291139240506328,0.08823529411764706,0.5361384077281812,1983.0,297.0,137.0,21.0,,,,,
integrated_5fold_cv_24h,GradientBoosting,2562,192,0.9223333942495128,0.4747619047619048,0.11983805668016194,0.18700184232259703,0.759805144148915,,,,,0.008520672223893218,0.20856707975461905,0.04281768650242452,0.06483308046355478,0.03316364034311603
