variable,MIMIC,eICU
source_dataset,0.0,0.0
environment_type,0.0,0.0
case_id,0.0,0.0
patient_group_id,0.0,0.0
admission_group_id,0.0,0.0
age,0.0,0.04078549848942598
gender,0.0,0.0007552870090634441
hr_mean,0.02727272727272727,0.02039274924471299
hr_min,0.02727272727272727,0.02039274924471299
hr_max,0.02727272727272727,0.02039274924471299
temperature_mean,0.02727272727272727,0.918429003021148
temperature_min,0.02727272727272727,0.918429003021148
temperature_max,0.02727272727272727,0.918429003021148
respiration_mean,0.02727272727272727,0.0891238670694864
respiration_min,0.02727272727272727,0.0891238670694864
respiration_max,0.02727272727272727,0.0891238670694864
bp_sys_mean,0.02727272727272727,0.024924471299093656
bp_sys_min,0.02727272727272727,0.024924471299093656
bp_sys_max,0.02727272727272727,0.024924471299093656
bp_dia_mean,0.02727272727272727,0.024924471299093656
bp_dia_min,0.02727272727272727,0.024924471299093656
bp_dia_max,0.02727272727272727,0.024924471299093656
bp_mean_mean,0.02727272727272727,0.024924471299093656
bp_mean_min,0.02727272727272727,0.024924471299093656
bp_mean_max,0.02727272727272727,0.024924471299093656
glucose_mean,0.01818181818181818,0.09818731117824774
glucose_min,0.01818181818181818,0.09818731117824774
glucose_max,0.01818181818181818,0.09818731117824774
creatinine_mean,0.01818181818181818,0.09138972809667674
creatinine_min,0.01818181818181818,0.09138972809667674
creatinine_max,0.01818181818181818,0.09138972809667674
wbc_mean,0.01818181818181818,0.13897280966767372
wbc_min,0.01818181818181818,0.13897280966767372
wbc_max,0.01818181818181818,0.13897280966767372
hematocrit_mean,0.01818181818181818,0.12386706948640483
hematocrit_min,0.01818181818181818,0.12386706948640483
hematocrit_max,0.01818181818181818,0.12386706948640483
sodium_mean,0.00909090909090909,0.08761329305135952
sodium_min,0.00909090909090909,0.08761329305135952
sodium_max,0.00909090909090909,0.08761329305135952
bun_mean,0.01818181818181818,0.09138972809667674
bun_min,0.01818181818181818,0.09138972809667674
bun_max,0.01818181818181818,0.09138972809667674
target_mortality,0.0,0.0
