scenario,variant,n,events,accuracy,precision,recall,specificity,f1,auc,tn,fp,fn,tp
train_eICU_test_MIMIC,LogisticRegression_balanced,110,33,0.5636363636363636,0.35294117647058826,0.5454545454545454,0.5714285714285714,0.42857142857142855,0.5977961432506887,44,33,15,18
train_eICU_test_MIMIC,LogisticRegression_unweighted,110,33,0.7,0.0,0.0,1.0,0.0,0.603305785123967,77,0,33,0
train_eICU_test_MIMIC,RandomForest_balanced,110,33,0.7,0.0,0.0,1.0,0.0,0.6420700511609603,77,0,33,0
train_eICU_test_MIMIC,RandomForest_unweighted,110,33,0.7,0.0,0.0,1.0,0.0,0.6149153876426603,77,0,33,0
train_eICU_test_MIMIC,GradientBoosting_unweighted,110,33,0.7090909090909091,0.6666666666666666,0.06060606060606061,0.987012987012987,0.1111111111111111,0.6092089728453365,76,1,31,2
train_eICU_test_MIMIC,GradientBoosting_inverse_frequency,110,33,0.6545454545454545,0.38095238095238093,0.24242424242424243,0.8311688311688312,0.2962962962962963,0.5730027548209367,64,13,25,8
train_MIMIC_test_eICU,LogisticRegression_balanced,1324,117,0.6261329305135952,0.0944206008583691,0.37606837606837606,0.6503728251864126,0.1509433962264151,0.5389395194697598,785,422,73,44
train_MIMIC_test_eICU,LogisticRegression_unweighted,1324,117,0.775679758308157,0.11206896551724138,0.2222222222222222,0.8293289146644574,0.1489971346704871,0.5282115012852378,1001,206,91,26
train_MIMIC_test_eICU,RandomForest_balanced,1324,117,0.8882175226586103,0.10256410256410256,0.03418803418803419,0.9710024855012428,0.05128205128205128,0.5918821121803723,1172,35,113,4
train_MIMIC_test_eICU,RandomForest_unweighted,1324,117,0.8391238670694864,0.125,0.13675213675213677,0.9072079536039768,0.1306122448979592,0.6181675270324815,1095,112,101,16
train_MIMIC_test_eICU,GradientBoosting_unweighted,1324,117,0.7552870090634441,0.11235955056179775,0.2564102564102564,0.8036454018227009,0.15625,0.5547978671425233,970,237,87,30
train_MIMIC_test_eICU,GradientBoosting_inverse_frequency,1324,117,0.7401812688821753,0.10726643598615918,0.26495726495726496,0.7862468931234465,0.15270935960591134,0.5234848002039385,949,258,86,31
