source,feature,table,mapping
MIMIC,glucose,LABEVENTS,"50809,50931"
MIMIC,creatinine,LABEVENTS,50912
MIMIC,wbc,LABEVENTS,51301
MIMIC,hematocrit,LABEVENTS,"50810,51221"
MIMIC,sodium,LABEVENTS,"50824,50983"
MIMIC,bun,LABEVENTS,51006
MIMIC,hr,CHARTEVENTS,"211,220045"
MIMIC,temperature_c,CHARTEVENTS,"676,677,223762,226329"
MIMIC,temperature_f,CHARTEVENTS,"678,679,223761"
MIMIC,respiration,CHARTEVENTS,"618,220210"
MIMIC,bp_sys,CHARTEVENTS,"51,442,455,220050,220179,224167,225309,227243"
MIMIC,bp_dia,CHARTEVENTS,"8368,8440,8441,220051,220180,224643,225310,227242"
MIMIC,bp_mean,CHARTEVENTS,"52,456,220052,220181,225312"
eICU,glucose,lab,glucose
eICU,creatinine,lab,creatinine
eICU,wbc,lab,wbc x 1000
eICU,hematocrit,lab,hct
eICU,sodium,lab,sodium
eICU,bun,lab,bun
