scenario,model,seed,n,events,accuracy,precision,recall,specificity,f1,auc,tn,fp,fn,tp
train_eICU_test_MIMIC,RandomForest,1,110,33,0.7,0.0,0.0,1.0,0.0,0.6302636757182212,77,0,33,0
train_eICU_test_MIMIC,GradientBoosting,1,110,33,0.7181818181818181,0.75,0.09090909090909091,0.987012987012987,0.16216216216216217,0.6131444313262495,76,1,30,3
train_eICU_test_MIMIC,RandomForest,2,110,33,0.7,0.0,0.0,1.0,0.0,0.6345926800472255,77,0,33,0
train_eICU_test_MIMIC,GradientBoosting,2,110,33,0.7090909090909091,0.6666666666666666,0.06060606060606061,0.987012987012987,0.1111111111111111,0.6103896103896104,76,1,31,2
train_eICU_test_MIMIC,RandomForest,3,110,33,0.7,0.0,0.0,1.0,0.0,0.6328217237308147,77,0,33,0
train_eICU_test_MIMIC,GradientBoosting,3,110,33,0.7,0.5,0.06060606060606061,0.974025974025974,0.10810810810810811,0.6048799685163322,75,2,31,2
train_eICU_test_MIMIC,RandomForest,4,110,33,0.7,0.0,0.0,1.0,0.0,0.6391184573002755,77,0,33,0
train_eICU_test_MIMIC,GradientBoosting,4,110,33,0.7090909090909091,0.6666666666666666,0.06060606060606061,0.987012987012987,0.1111111111111111,0.608421881149154,76,1,31,2
train_eICU_test_MIMIC,RandomForest,5,110,33,0.7,0.0,0.0,1.0,0.0,0.6375442739079102,77,0,33,0
train_eICU_test_MIMIC,GradientBoosting,5,110,33,0.7181818181818181,0.75,0.09090909090909091,0.987012987012987,0.16216216216216217,0.611176702085793,76,1,30,3
train_eICU_test_MIMIC,RandomForest,10,110,33,0.7,0.0,0.0,1.0,0.0,0.6174734356552538,77,0,33,0
train_eICU_test_MIMIC,GradientBoosting,10,110,33,0.7181818181818181,0.75,0.09090909090909091,0.987012987012987,0.16216216216216217,0.6107831562377017,76,1,30,3
train_eICU_test_MIMIC,RandomForest,20,110,33,0.7,0.0,0.0,1.0,0.0,0.6485635576544666,77,0,33,0
train_eICU_test_MIMIC,GradientBoosting,20,110,33,0.7181818181818181,0.75,0.09090909090909091,0.987012987012987,0.16216216216216217,0.6135379771743409,76,1,30,3
train_eICU_test_MIMIC,RandomForest,42,110,33,0.7,0.0,0.0,1.0,0.0,0.6420700511609603,77,0,33,0
train_eICU_test_MIMIC,GradientBoosting,42,110,33,0.7090909090909091,0.6666666666666666,0.06060606060606061,0.987012987012987,0.1111111111111111,0.6092089728453365,76,1,31,2
train_eICU_test_MIMIC,RandomForest,100,110,33,0.7,0.0,0.0,1.0,0.0,0.6385281385281385,77,0,33,0
train_eICU_test_MIMIC,GradientBoosting,100,110,33,0.7181818181818181,0.75,0.09090909090909091,0.987012987012987,0.16216216216216217,0.6155057064147974,76,1,30,3
train_eICU_test_MIMIC,RandomForest,2026,110,33,0.7,0.0,0.0,1.0,0.0,0.6503345139708776,77,0,33,0
train_eICU_test_MIMIC,GradientBoosting,2026,110,33,0.7090909090909091,0.6,0.09090909090909091,0.974025974025974,0.15789473684210525,0.6158992522628887,75,2,30,3
train_MIMIC_test_eICU,RandomForest,1,1324,117,0.8889728096676737,0.08333333333333333,0.02564102564102564,0.9726594863297432,0.0392156862745098,0.5978019954821944,1174,33,114,3
train_MIMIC_test_eICU,GradientBoosting,1,1324,117,0.7484894259818731,0.10583941605839416,0.24786324786324787,0.7970173985086992,0.1483375959079284,0.5552369015500748,962,245,88,29
train_MIMIC_test_eICU,RandomForest,2,1324,117,0.8904833836858006,0.15,0.05128205128205128,0.971830985915493,0.07643312101910828,0.6139506723599516,1173,34,111,6
train_MIMIC_test_eICU,GradientBoosting,2,1324,117,0.743202416918429,0.10320284697508897,0.24786324786324787,0.7912178956089478,0.1457286432160804,0.5517317074897854,955,252,88,29
train_MIMIC_test_eICU,RandomForest,3,1324,117,0.8942598187311178,0.1891891891891892,0.05982905982905983,0.9751449875724938,0.09090909090909091,0.5847867496583321,1177,30,110,7
train_MIMIC_test_eICU,GradientBoosting,3,1324,117,0.75,0.11510791366906475,0.27350427350427353,0.796188898094449,0.1620253164556962,0.5577932147940433,961,246,85,32
train_MIMIC_test_eICU,RandomForest,4,1324,117,0.8851963746223565,0.07317073170731707,0.02564102564102564,0.9685169842584921,0.0379746835443038,0.6153492093840064,1169,38,114,3
train_MIMIC_test_eICU,GradientBoosting,4,1324,117,0.7590634441087614,0.12030075187969924,0.27350427350427353,0.8061309030654515,0.1671018276762402,0.5565256799722417,973,234,85,32
train_MIMIC_test_eICU,RandomForest,5,1324,117,0.877643504531722,0.07547169811320754,0.03418803418803419,0.9594034797017399,0.047058823529411764,0.6175089754211545,1158,49,113,4
train_MIMIC_test_eICU,GradientBoosting,5,1324,117,0.7484894259818731,0.11151079136690648,0.26495726495726496,0.7953603976801988,0.1569620253164557,0.5571134195823508,960,247,86,31
train_MIMIC_test_eICU,RandomForest,10,1324,117,0.8859516616314199,0.11363636363636363,0.042735042735042736,0.9676884838442419,0.062111801242236024,0.6085512572670815,1168,39,112,5
train_MIMIC_test_eICU,GradientBoosting,10,1324,117,0.7507552870090635,0.11827956989247312,0.28205128205128205,0.796188898094449,0.16666666666666666,0.5576091035908766,961,246,84,33
