scenario,model,n,events,event_prevalence,precision,recall,specificity,f1,auc_roc,average_precision,brier,ece_10bins,calibration_intercept,calibration_slope,tn,fp,fn,tp,positive_predictions
eICU to MIMIC transfer,Logistic Regression,110,33,0.3,0.35294117647058826,0.5454545454545454,0.5714285714285714,0.42857142857142855,0.5977961432506887,0.40244975496594093,0.2692071839832397,0.23450353159505613,-0.8479687698718587,0.2546787459160659,44,33,15,18,51
eICU to MIMIC transfer,Random Forest,110,33,0.3,,0.0,1.0,0.0,0.6420700511609603,0.43802573505927855,0.24116394173075353,0.200109565290544,-0.619989641885816,0.08590828017915011,77,0,33,0,0
eICU to MIMIC transfer,Gradient Boosting,110,33,0.3,0.6666666666666666,0.06060606060606061,0.987012987012987,0.1111111111111111,0.6092089728453365,0.4673917164781264,0.24141414102834133,0.21927866038152213,0.10929150943797264,0.35372159989935525,76,1,31,2,3
MIMIC to eICU transfer,Logistic Regression,1324,117,0.08836858006042296,0.0944206008583691,0.37606837606837606,0.6503728251864126,0.1509433962264151,0.5389395194697598,0.12316862345218885,0.24400136777401568,0.32273219712323464,-2.2933642136910026,0.1129379044161798,785,422,73,44,466
MIMIC to eICU transfer,Random Forest,1324,117,0.08836858006042296,0.10256410256410256,0.03418803418803419,0.9710024855012428,0.05128205128205128,0.5918821121803723,0.1170965856682842,0.13026321752265863,0.2114677744209466,-1.7921230055388138,0.6526066020622894,1172,35,113,4,39
MIMIC to eICU transfer,Gradient Boosting,1324,117,0.08836858006042296,0.11235955056179775,0.2564102564102564,0.8036454018227009,0.15625,0.5547978671425233,0.10671751196797234,0.18142968810541596,0.1983961159817413,-2.2039189920194686,0.08494460388701838,970,237,87,30,267
eICU internal 5-fold OOF,Logistic Regression,1324,117,0.08836858006042296,0.15931372549019607,0.5555555555555556,0.7158243579121789,0.24761904761904763,0.7080492001784463,0.2507176527396864,0.1983006446843716,0.2995375355969969,-2.2497344036855087,0.584640889172156,864,343,52,65,408
eICU internal 5-fold OOF,Random Forest,1324,117,0.08836858006042296,0.25,0.008547008547008548,0.9975144987572494,0.01652892561983471,0.6939399089357664,0.16162863749741374,0.07925365273670072,0.025959697803397845,-0.7654081037410949,0.618143233857524,1204,3,116,1,4
eICU internal 5-fold OOF,Gradient Boosting,1324,117,0.08836858006042296,0.25,0.05982905982905983,0.9826014913007457,0.09655172413793103,0.7432427647837756,0.21081439718546263,0.08055755714327373,0.03660838293755599,-0.7030524883287099,0.5873724762364448,1186,21,110,7,28
MIMIC internal 5-fold OOF,Logistic Regression,110,33,0.3,0.29545454545454547,0.3939393939393939,0.5974025974025974,0.33766233766233766,0.503345139708776,0.40067858334808604,0.28888400241862133,0.25110594330559927,-0.821484948439391,0.10718234948805143,46,31,20,13,44
MIMIC internal 5-fold OOF,Random Forest,110,33,0.3,0.3333333333333333,0.06060606060606061,0.948051948051948,0.10256410256410256,0.5346320346320346,0.33842538441689474,0.21744717171717173,0.09772727272727273,-0.5830985743829477,0.28179793864008956,73,4,31,2,6
MIMIC internal 5-fold OOF,Gradient Boosting,110,33,0.3,0.3684210526315789,0.21212121212121213,0.8441558441558441,0.2692307692307692,0.5926800472255017,0.3817240301084308,0.2582942007392264,0.2143673673286311,-0.552536525057089,0.1563487393233547,65,12,26,7,19
