,MIMIC,eICU
hospitalid,1.0,0.0
age,0.0,0.041893362350380846
gender,0.0,0.000544069640914037
hr_mean,0.029411764705882353,0.017410228509249184
hr_std,0.029411764705882353,0.017410228509249184
respiration_mean,0.029411764705882353,0.08759521218715996
respiration_std,0.03676470588235294,0.088139281828074
bp_sys_ap_mean,1.0,0.025027203482045703
bp_sys_ap_std,1.0,0.02883569096844396
bp_dia_ap_mean,1.0,0.025027203482045703
bp_dia_ap_std,1.0,0.02883569096844396
bp_mean_ap_mean,1.0,0.025027203482045703
bp_mean_ap_std,1.0,0.02883569096844396
glucose_mean,0.0,0.021218715995647442
glucose_std,0.007352941176470588,0.0897714907508161
creatinine_mean,0.0,0.025027203482045703
creatinine_std,0.022058823529411766,0.12078346028291621
wbc_mean,0.0,0.024483133841131665
wbc_std,0.022058823529411766,0.15451577801958652
sodium_mean,0.0,0.025027203482045703
sodium_std,0.014705882352941176,0.12132752992383025
bun_mean,0.0,0.023394994559303592
bun_std,0.022058823529411766,0.1235038084874864
apachescore,1.0,0.0
predictedhospitalmortality,1.0,0.0
