scenario,model,rule,threshold,precision,recall,f1,specificity,tn,fp,fn,tp,positive_predictions
train_MIMIC_test_eICU,GradientBoosting,fixed_0.5,0.5,0.13333333333333333,0.23225806451612904,0.16941176470588235,0.8609625668449198,2898,468,238,72,540
train_MIMIC_test_eICU,GradientBoosting,best_f1_in_test,0.0343294640158852,0.11334745762711865,0.6903225806451613,0.19472247497725206,0.5026737967914439,1692,1674,96,214,1888
train_MIMIC_test_eICU,LogisticRegression,fixed_0.5,0.5,0.14009661835748793,0.3741935483870968,0.2038664323374341,0.7884729649435532,2654,712,194,116,828
train_MIMIC_test_eICU,LogisticRegression,best_f1_in_test,0.308513944154629,0.14304123711340205,0.7161290322580646,0.238453276047261,0.6048722519310754,2036,1330,88,222,1552
train_MIMIC_test_eICU,RandomForest,fixed_0.5,0.5,0.26548672566371684,0.1935483870967742,0.22388059701492538,0.9506833036244801,3200,166,250,60,226
train_MIMIC_test_eICU,RandomForest,best_f1_in_test,0.5433333333333333,0.3611111111111111,0.16774193548387098,0.2290748898678414,0.9726678550207962,3274,92,258,52,144
train_eICU_test_MIMIC,GradientBoosting,fixed_0.5,0.5,0.0,0.0,0.0,1.0,90,0,46,0,0
train_eICU_test_MIMIC,GradientBoosting,best_f1_in_test,0.0270867724529329,0.4691358024691358,0.8260869565217391,0.5984251968503937,0.5222222222222223,47,43,8,38,81
train_eICU_test_MIMIC,LogisticRegression,fixed_0.5,0.5,0.42105263157894735,0.34782608695652173,0.380952380952381,0.7555555555555555,68,22,30,16,38
train_eICU_test_MIMIC,LogisticRegression,best_f1_in_test,0.0005703951171348,0.35714285714285715,0.9782608695652174,0.5232558139534884,0.1,9,81,1,45,126
train_eICU_test_MIMIC,RandomForest,fixed_0.5,0.5,0.0,0.0,0.0,1.0,90,0,46,0,0
train_eICU_test_MIMIC,RandomForest,best_f1_in_test,0.0666666666666666,0.48,0.782608695652174,0.5950413223140497,0.5666666666666667,51,39,10,36,75
